Topic,Words,Frequency,Class
28,"china, xinjiang, chinese, uighur, hong",0.008245877061469266,the new york times
29,"obama, president, war, speech, islamic",0.006934032983508246,the new york times
30,"pimentel, prosecutor, mr, case, medunjanin",0.0074962518740629685,the new york times
31,"egypt, egyptian, sisi, cairo, sinai",0.006559220389805097,the new york times
32,"reagan, summit, soviet, economic, statement",0.007683658170914542,the new york times
33,"guantanamo, hamdan, tribunal, trial, military",0.006934032983508246,the new york times
34,"sudan, israel, sudanese, list, khartoum",0.006559220389805097,the new york times
35,"australia, zealand, australian, tarrant, sydney",0.006371814092953523,the new york times
36,"detainee, guantanamo, guant, namo, prisoner",0.006559220389805097,the new york times
37,"interrogation, torture, obama, technique, detainee",0.005622188905547227,the new york times
38,"shooting, mass, violence, vega, paddock",0.006184407796101949,the new york times
39,"judge, hage, lawyer, el, ali",0.006184407796101949,the new york times
40,"airport, flight, passenger, airline, plane",0.004122938530734633,the new york times
41,"white, domestic, supremacist, hate, charlottesville",0.005997001499250375,the new york times
42,"greece, greek, athens, papandreou, november",0.005434782608695652,the new york times
43,"marine, beirut, lebanon, commander, commission",0.005997001499250375,the new york times
44,"police, nypd, york, department, new",0.005622188905547227,the new york times
45,"algeria, algerian, nigeria, boko, haram",0.0046851574212893555,the new york times
46,"korea, north, korean, kim, nuclear",0.005059970014992503,the new york times
47,"afghan, karzai, taliban, afghanistan, kabul",0.0046851574212893555,the new york times
48,"clarke, intelligence, report, iraq, rumsfeld",0.004310344827586207,the new york times
49,"bill, senate, senator, house, fisa",0.004122938530734633,the new york times
50,"argentina, argentine, alfonsin, military, peronist",0.005247376311844078,the new york times
51,"israeli, hezbollah, israel, lebanon, terrorist",0.004872563718140929,the new york times
52,"cuba, cuban, list, havana, castro",0.004310344827586207,the new york times
53,"insurance, insurer, coverage, loss, industry",0.0046851574212893555,the new york times
54,"yemen, yemeni, al, saleh, qaeda",0.003935532233883058,the new york times
55,"gun, domestic, law, list, shooting",0.0046851574212893555,the new york times
56,"shultz, reagan, secretary, mr, speech",0.004872563718140929,the new york times
57,"frein, trooper, pennsylvania, abc, manhunt",0.0001874062968515742,the new york times
58,"philippine, duterte, marcos, manila, filipino",0.003935532233883058,the new york times
59,"othman, britain, british, masri, choudary",0.004497751124437781,the new york times
60,"bush, percent, giuliani, poll, republican",0.0037481259370314842,the new york times
61,"peru, fujimori, shining, peruvian, path",0.003935532233883058,the new york times
62,"afghanistan, sheehan, laden, bin, al",0.003373313343328336,the new york times
63,"miranda, law, suspect, fertig, right",0.003373313343328336,the new york times
64,"charity, marayati, ramadan, muslim, visa",0.004122938530734633,the new york times
65,"provision, military, bill, republican, authorization",0.003935532233883058,the new york times
