colocate,label,score_normalized,score
egypt,1980 - 1985,6.369568800694524e-08,0.0275657739858297
either,1980 - 1985,8.009174358760813e-06,3.4661544147639933
el,1980 - 1985,2.7166749705728497e-07,0.1175703577039724
eliminate,1980 - 1985,3.503006175441029e-05,15.160064915641405
encourage,1980 - 1985,2.449236057710433e-05,10.599632364035172
end,1980 - 1985,0.0001031699856665,44.64918420688764
endorse,1980 - 1985,2.0565935482152338e-05,8.900381596417514
engage,1980 - 1985,1.4023377438311972e-05,6.068939124110587
engaged,1980 - 1985,1.111030704246744e-05,4.808240909689761
eradicate,1980 - 1985,7.010893687842503e-05,30.341254939686635
escalate,1980 - 1985,2.2525342337507065e-05,9.748359979429944
especially,1980 - 1985,4.1145842798869193e-05,17.806809825595018
estimate,1980 - 1985,9.729268025034114e-06,4.210564510998089
eta,1980 - 1985,1.172750514995428e-05,5.075347586261163
europe,1980 - 1985,2.1744774356060793e-06,0.9410551232395497
even,1980 - 1985,1.8919137308064024e-05,8.187691810222791
every,1980 - 1985,2.0783813315963535e-05,8.994673240189488
evidence,1980 - 1985,3.9627427347899844e-09,0.0017149680615632
example,1980 - 1985,1.2101725428373316e-05,5.2373000188134045
expand,1980 - 1985,2.1567287543289887e-05,9.333739731972194
expect,1980 - 1985,2.010932729633073e-06,0.8702773902014938
experience,1980 - 1985,1.2926673217023384e-05,5.594315148150861
exploit,1980 - 1985,1.5229207449961924e-05,6.5907897957423724
export,1980 - 1985,4.571107525195761e-05,19.78251917001545
express,1980 - 1985,4.670326481056751e-06,2.0211912021863734
face,1980 - 1985,2.2906006425802033e-06,0.9913101118913624
facilities,1980 - 1985,1.5797726589723258e-05,6.836829529414303
fanaticism,1980 - 1985,2.8347183848983338e-05,12.267895795876065
fear,1980 - 1985,2.769671944874409e-05,11.986392365991328
federal,1980 - 1985,1.3267718183723675e-09,0.0005741910201524
finance,1980 - 1985,1.0624791046628151e-05,4.598122695622405
find,1980 - 1985,1.8662491041061375e-06,0.8076622235313256
firm,1980 - 1985,1.5316729534466597e-05,6.628666990819713
first,1980 - 1985,8.697701730201397e-06,3.7641304708844494
flourish,1980 - 1985,7.389141972868033e-05,31.978211390240176
focus,1980 - 1985,4.45797060062102e-06,1.9292893107425608
follow,1980 - 1985,2.987903076705693e-06,1.293083778215153
following,1980 - 1985,3.1281774284282885e-06,1.3537907302331955
foment,1980 - 1985,9.485756364121426e-05,41.051792389699216
force,1980 - 1985,1.0098310441497313e-06,0.4370276104698116
foreign,1980 - 1985,6.639343795071987e-06,2.8733287322246888
form,1980 - 1985,0.0002100621049544,90.9092073474534
