rank,word_of_interest,colocate,score,score_normalized,label
264,terrorism,"('change', 'terrorism')",25.61285229531194,1.4787568449297995e-05,2001 - 2005
265,terrorism,"('classified', 'terrorism')",25.591252364879562,1.4775097739433817e-05,2001 - 2005
266,terrorism,"('engage', 'terrorism')",25.448944118485862,1.4692936139070722e-05,2001 - 2005
267,terrorism,"('terrorism', 'according')",25.34342411592373,1.4632014214301602e-05,2001 - 2005
268,terrorism,"('senate', 'terrorism')",25.23443457414656,1.4569089152668286e-05,2001 - 2005
269,terrorism,"('premium', 'terrorism')",25.190551506765452,1.4543753283973096e-05,2001 - 2005
270,terrorism,"('glorify', 'terrorism')",25.161860499068915,1.4527188543923838e-05,2001 - 2005
271,terrorism,"('terrorism', 'information')",25.161132855983645,1.4526768439524451e-05,2001 - 2005
272,terrorism,"('even', 'terrorism')",25.141549500917698,1.4515461998517192e-05,2001 - 2005
273,terrorism,"('stopping', 'terrorism')",25.056854335302624,1.4466563283746297e-05,2001 - 2005
274,terrorism,"('terrorism', 'company')",24.766704898906077,1.4299045640581482e-05,2001 - 2005
275,terrorism,"('supporter', 'terrorism')",24.61040448146628,1.4208805666723986e-05,2001 - 2005
276,terrorism,"('terrorism', 'group')",24.491550492247185,1.41401853709137e-05,2001 - 2005
277,terrorism,"('titled', 'terrorism')",24.41026415600178,1.4093254742205798e-05,2001 - 2005
